Date,Open,High,Low,Close,Adj Close,Volume
2015-06-16,14.201400,14.242900,14.085100,14.085100,13.560567,2599309
2015-06-17,14.093400,14.118300,13.836000,13.985400,13.464579,2521524
2015-06-18,14.060200,14.334300,13.960500,14.334300,13.800486,2489374
2015-06-19,14.242900,14.276100,13.852600,14.151500,13.624494,2359932
2015-06-22,14.350900,14.350900,14.134900,14.168200,13.640573,2786428
2015-06-23,14.292700,14.492000,14.251200,14.284400,13.752442,2513336
2015-06-24,14.367500,14.442200,13.968800,14.010400,13.488649,4340812
2015-06-25,14.076800,14.076800,13.703100,13.885800,13.368690,2564992
2015-06-26,13.952200,14.309300,13.869200,14.218000,13.688517,1839998
2015-06-29,14.051900,14.060200,13.786100,14.018700,13.496638,1609652
2015-06-30,13.977100,14.558500,13.827700,14.367500,13.832450,3731533
2015-07-01,14.450500,14.832500,14.400700,14.774400,14.224196,3240136
2015-07-02,14.865800,14.899000,14.658100,14.865800,14.312192,2151260
2015-07-03,14.699700,14.849200,14.624900,14.749500,14.200226,864068
2015-07-06,14.633200,14.907300,14.558500,14.782700,14.232187,1282857
2015-07-07,14.683100,14.923900,14.541900,14.824200,14.272141,2436514
2015-07-08,14.691400,14.865800,14.591700,14.633200,14.088254,1863237
2015-07-10,14.915600,15.073400,14.658100,15.073400,14.512061,1768715
2015-07-13,15.106600,15.272700,14.674800,14.674800,14.128305,2743923
2015-07-14,14.815900,15.065100,14.691400,15.031900,14.472107,2501656
2015-07-15,14.948800,15.106600,14.899000,15.106600,14.544024,2023384
2015-07-16,15.173000,15.206300,14.865800,14.990300,14.432058,1646016
2015-07-17,15.056800,15.289300,14.633200,14.674800,14.128305,2269985
2015-07-20,14.691400,15.231200,14.633200,15.231200,14.663986,2034823
2015-07-21,15.222900,15.413900,15.073400,15.156400,14.591969,2249756
2015-07-22,15.031900,15.164700,14.807600,14.807600,14.256160,1890209
2015-07-23,14.782700,14.874100,14.259500,14.267800,13.736464,2787391
2015-07-24,14.417300,14.467100,14.076800,14.367500,13.832450,1561608
2015-07-27,14.325900,14.517000,14.118300,14.242900,13.712491,1980999
2015-07-28,14.359200,14.467100,14.076800,14.450500,13.912357,1688642
2015-07-29,14.168200,14.492000,14.076800,14.076800,13.552575,2640610
2015-07-30,14.085100,14.317600,13.968800,14.317600,13.784409,2113451
2015-07-31,14.226300,14.392400,14.093400,14.234600,13.704497,2248191
2015-08-03,14.176500,14.309300,13.869200,13.885800,13.368690,2364869
2015-08-04,13.952200,14.085100,13.545300,13.545300,13.040870,3212080
2015-08-05,13.669900,14.027000,13.620000,14.027000,13.504630,1434816
2015-08-06,13.786100,13.802700,13.271200,13.329400,12.833008,2723332
2015-08-07,13.204800,13.354300,12.872600,12.947300,12.465138,2957532
2015-08-10,13.038700,13.370900,13.030400,13.287800,12.792958,3042301
2015-08-11,13.146700,13.487200,13.038700,13.478800,12.976846,2874087
2015-08-12,13.038700,13.113400,12.548700,12.714800,12.241299,4259534
2015-08-13,12.673300,12.748000,12.415800,12.424100,11.961422,3439055
2015-08-14,13.080200,13.304400,12.581900,12.889200,12.409204,4105047
2015-08-17,12.864300,13.121700,12.748000,13.038700,12.553136,2124890
2015-08-18,12.955600,13.262900,12.872600,13.005500,12.521170,2150779
2015-08-19,12.955600,13.071900,12.673300,12.914100,12.433173,4151044
2015-08-20,12.748000,13.246300,12.590200,13.204800,12.713047,3205698
2015-08-21,13.038700,13.155000,12.689900,12.706500,12.233305,2667462
2015-08-24,12.166700,12.681600,11.826200,12.465600,12.001377,3682525
2015-08-25,12.640100,12.781200,12.457300,12.474000,12.009463,3708053
2015-08-26,12.781200,13.644900,12.665000,13.644900,13.136760,3532855
2015-08-27,13.644900,14.093400,13.312700,13.968800,13.448597,3320209
2015-08-28,13.869200,13.869200,13.412400,13.595100,13.088815,2933209
2015-08-31,13.478800,13.794400,13.163300,13.537000,13.032876,4067720
2015-09-01,13.163300,13.437300,12.972200,13.005500,12.562570,2961746
2015-09-02,12.963900,13.146700,12.714800,12.880900,12.485037,3485894
2015-09-03,12.955600,13.221400,12.706500,13.163300,12.758758,2480945
2015-09-04,12.897500,13.088500,12.731400,12.789500,12.396447,4161520
2015-09-08,13.080200,13.188200,12.465600,12.465600,12.082497,3595709
2015-09-09,12.656700,12.731400,12.291200,12.623400,12.235450,3245675
2015-09-10,12.233100,13.055300,12.224800,12.872600,12.476991,3305399
2015-09-11,12.806200,13.254600,12.606800,12.864300,12.468946,3321172
2015-09-14,12.864300,13.537000,12.772900,13.537000,13.120975,2164867
2015-09-15,13.537000,14.002100,13.246300,13.794400,13.370462,2776434
2015-09-16,13.869200,14.110000,13.777800,14.110000,13.676362,2504305
2015-09-17,13.910700,14.400700,13.852600,14.134900,13.700499,3215692
2015-09-18,14.010400,14.193100,13.777800,14.018700,13.587870,3047599
2015-09-21,13.894100,14.035300,13.595100,13.603400,13.185331,1803995
2015-09-22,13.370900,13.528700,13.163300,13.362600,12.951932,2967526
2015-09-23,13.329400,13.387500,12.822800,12.930700,12.533306,3456635
2015-09-24,12.507200,13.188200,12.498900,13.088500,12.686257,3724428
2015-09-25,13.287800,13.470500,13.063600,13.246300,12.839207,3671929
2015-09-28,13.370900,13.379200,13.005500,13.121700,12.718436,2231936
2015-09-29,13.121700,13.213100,12.963900,13.163300,12.758758,2197137
2015-09-30,13.287800,13.520400,13.196500,13.453900,13.040426,3856640
2015-10-01,13.545300,14.035300,13.254600,13.802700,13.378508,3421836
2015-10-02,13.802700,14.583400,13.694800,14.541900,14.094990,3258438
2015-10-05,14.766100,14.915600,14.591700,14.766100,14.312299,2555118
2015-10-06,14.616600,14.948800,14.583400,14.824200,14.368613,6947707
2015-10-07,15.081700,15.198000,14.741200,14.957100,14.497430,2603403
2015-10-08,15.073400,15.364100,14.923900,15.297600,14.827466,2426158
2015-10-09,15.488600,15.571700,14.799300,14.865800,14.408935,6044866
2015-10-13,14.741200,14.807600,14.450500,14.766100,14.312299,2873846
2015-10-14,14.591700,15.106600,14.575100,14.749500,14.296211,6694483
2015-10-15,14.708000,15.031900,14.409000,14.608300,14.159349,3870126
2015-10-16,14.608300,14.749500,14.184800,14.475400,14.030534,2760901
2015-10-19,14.467100,14.624900,14.284400,14.492000,14.046621,1701766
2015-10-20,14.492000,14.591700,14.110000,14.533600,14.086946,2786789
2015-10-21,14.450500,14.450500,14.193100,14.276100,13.837358,2007249
2015-10-22,14.350900,14.741200,14.301000,14.575100,14.127170,2526340
2015-10-23,14.699700,14.998600,14.699700,14.865800,14.408935,2820986
2015-10-26,14.799300,14.982000,14.683100,14.948800,14.489383,2628930
2015-10-27,14.882400,14.965400,14.774400,14.907300,14.449160,2357042
2015-10-28,14.849200,14.915600,14.824200,14.882400,14.425024,120651
2015-10-29,14.674800,14.782700,14.002100,14.002100,13.571779,2946935
2015-10-30,13.993800,14.159900,13.611700,13.877500,13.451008,4469411
2015-11-03,13.885800,14.899000,13.844300,14.890700,14.433071,5077485
2015-11-04,15.040200,15.247800,14.517000,14.724600,14.272074,3528038
2015-11-05,14.732900,15.048500,14.666400,15.048500,14.586020,1862515
2015-11-06,15.040200,15.081700,14.276100,14.392400,13.950083,2231093
2015-11-09,14.367500,14.708000,14.242900,14.375800,13.933994,1785091
2015-11-10,14.209700,14.350900,13.902400,14.267800,13.829313,2021337
2015-11-11,14.417300,15.314200,14.267800,14.990300,14.529608,2675048
2015-11-12,15.006900,15.189700,14.791000,14.957100,14.497430,2757409
2015-11-13,14.948800,15.231200,14.732900,15.231200,14.763105,2928513
2015-11-16,15.139800,15.264400,14.965400,15.214600,14.747017,2470831
2015-11-17,15.364100,15.422200,15.131500,15.214600,14.747017,2531518
2015-11-18,15.123200,15.530200,15.081700,15.281000,14.811376,2379921
2015-11-19,15.422200,15.563400,15.214600,15.455400,14.980415,3500223
2015-11-23,15.530200,15.812500,15.463700,15.779300,15.294361,4001012
2015-11-24,15.671300,15.937100,15.463700,15.580000,15.101187,2335007
2015-11-25,15.447100,15.746100,15.256100,15.488600,15.012594,3671568
2015-11-26,15.538500,15.646400,15.413900,15.596600,15.117276,1697311
2015-11-27,15.472000,15.588300,14.915600,15.114900,14.650380,1796289
2015-11-30,14.948800,15.056800,14.317600,14.317600,13.877584,4874834
2015-12-01,14.525300,14.624900,14.159900,14.492000,14.046621,3026286
2015-12-02,14.400700,15.206300,14.284400,14.782700,14.328389,2975834
2015-12-03,15.305900,15.654700,15.098300,15.496900,15.020639,2080338
2015-12-04,15.281000,15.754400,15.114900,15.364100,14.891921,2036629
2015-12-07,15.480300,15.737800,15.231200,15.447100,14.972370,2538140
2015-12-08,15.521900,15.521900,15.048500,15.189700,14.722881,2215680
